**** BEGIN LOGGING AT Thu Jul 26 13:38:16 2018

Jul 26 13:40:15 <utkarsh2102>	Anyone up?
Jul 26 15:28:30 <BhaveshSGupta[m]>	philomath, I had seen that version too, I was thinking if by increasing budget little if I could something that would be here for sometime so I thought lets go with i5-8th gen minimum. Also as far as I had read AMD processor doesn't support cuda. Which is used in machine learning.
Jul 26 15:28:38 <priyankasaggu119>	yeah, philomath, but might be there a chance for me to learn raspberry pi too. and some IOT :)
Jul 26 15:29:36 <philomath>	priyankasaggu119, oh, yes. Let me share a link of cool project on RPI.
Jul 26 15:30:24 <BhaveshSGupta[m]>	 priyankasaggu119, have you seen micromax lapbook?
Jul 26 15:30:46 <jasonbraganza>	BhaveshSGupta[m], if you want CUDA, you need a desktop. that latop you have does not support it. and I don’t know how cheap Nvidia grahics gpu machines are
Jul 26 15:31:09 <jasonbraganza>	BhaveshSGupta[m] s /a desktop /a desktop with an NVIDIA card
Jul 26 15:31:25 <fhackdroid>	philomath: hey
Jul 26 15:31:54 <priyankasaggu119>	yeah, philomath, I was going through the link. So, this is a very huge task. requires really much time but can be a very good project. I might can proceed on it in my college, I will be having all those CNC machines and stuff required for making the frames and all.
Jul 26 15:32:09 <priyankasaggu119>	ohk BhaveshSGupta[m], lemme check that too.
Jul 26 15:32:36 <jasonbraganza>	fhackdroid philomath is tracking who controls batul
Jul 26 15:32:51 <philomath>	priyankasaggu119, Oh, cool! That will make the work more easy :)
Jul 26 15:32:57 <fhackdroid>	jasonbraganza: command not found :P
Jul 26 15:34:18 <kushal>	Translating some code from Python to Rust.
Jul 26 15:35:20 <BhaveshSGupta[m]>	jasonbraganza, okay. I need to dig more. :D
Jul 26 15:35:36 <philomath>	fhackdroid, Hola!
Jul 26 15:37:09 <fhackdroid>	philomath: how are you? what are you upto?
Jul 26 15:37:54 <philomath>	fhackdroid, Great :)
Jul 26 15:38:11 <philomath>	fhackdroid, You were one of the suspect of controlling batul on my list :P
Jul 26 15:38:47 <philomath>	fhackdroid, I am completing a blog post and finding the secret behind batul :P
Jul 26 15:39:04 <jasonbraganza>	fhackdroid, i really enjoy an converstaion that goes, how are you? I am great! you’re a suspect :P
Jul 26 15:39:41 <fhackdroid>	philomath: I plead not guilty
Jul 26 15:39:51 <philomath>	jasonbraganza, hahaha
Jul 26 15:39:52 <devesh_verma>	Hello everyone
Jul 26 15:40:35 <storymode7>	hey devesh_verma
Jul 26 15:40:42 <jasonbraganza>	devesh_verma, hello :)
Jul 26 15:40:44 <devesh_verma>	storymode7: hey
Jul 26 15:40:48 <devesh_verma>	jasonbraganza: hello
Jul 26 15:41:11 <devesh_verma>	Leaving office early today :)
Jul 26 15:41:12 <BhaveshSGupta[m]>	 devesh_verma, hello
Jul 26 15:41:13 <batul>	fhackdroid This is for you www.youtube.com/watch?v=dQw4w9WgXcQ
Jul 26 15:41:18 <devesh_verma>	BhaveshSGupta[m]: hey
Jul 26 15:41:57 <BhaveshSGupta[m]>	batul, is doing talking today :D
Jul 26 15:42:22 <fhackdroid>	philomath: you can see from the choice of song :P
Jul 26 15:43:08 <philomath>	fhackdroid, Plea accepted :)
Jul 26 15:44:29 <batul>	philomath www.youtube.com/watch?v=TXxKZkE2MGo&feature=youtu.be&t=13
Jul 26 15:45:24 *	budhram is now known as budhram_afk
Jul 26 15:46:38 *	philomath is struggling with low bandwidth internet for youtube :(
Jul 26 15:50:56 <philomath>	fhackdroid, Someone shared me this song before here as well. kushal, you controlling batul?
Jul 26 15:51:31 <kushal>	philomath, hi
Jul 26 15:51:36 <kushal>	philomath, which song?
Jul 26 15:51:41 *	kushal reads the scrollback.
Jul 26 15:52:02 *	budhram_afk is now known as budhram
Jul 26 15:52:34 <kushal>	ah, fhackdroid got rickrolled
Jul 26 15:52:42 <kushal>	fhackdroid, philomath Just in case you don't know https://www.youtube.com/watch?v=d59zN-ZwX2k
Jul 26 15:53:00 <kushal>	But, also means now I also got rickrolled as I had click and figure out those links.
Jul 26 15:54:24 <kushal>	fhackdroid, philomath https://en.wikipedia.org/wiki/Rickrolling
Jul 26 15:54:26 <kushal>	this also
Jul 26 15:54:57 <kushal>	the first link is the song I am listening :(
Jul 26 15:54:58 <batul>	 ha! i got two!
Jul 26 15:55:21 <fhackdroid>	hahaha
Jul 26 15:55:34 <fhackdroid>	Rickrolling :P that  is a new term
Jul 26 15:56:47 <jasonbraganza>	fhackdroid`, i forget how old I really am sometimes. Then you say something like this ^ or kushal says Matrix, like the Neo film and it all comes rushing back :P
Jul 26 15:58:05 <kushal>	jasonbraganza, hehe, we have too many kids here.
Jul 26 15:58:08 <philomath>	jasonbraganza, hehe
Jul 26 15:59:00 <philomath>	sayan, is the prime suspect now :P
Jul 26 15:59:19 <batul>	Self destruction mode on. T-10 seconds.
Jul 26 15:59:26 <philomath>	The man behind batul must be laughing hard :/
Jul 26 15:59:31 <batul>	Nah, just kidding.
Jul 26 15:59:47 <jasonbraganza>	philomath, trishnag is also an operator!
Jul 26 16:00:00 <jasonbraganza>	who’s to say it isn’t her?
Jul 26 16:00:43 <philomath>	Oh, yes.
Jul 26 16:00:46 <philomath>	s/man/person
Jul 26 16:00:57 <batul>	www.youtube.com/watch?v=7A-9Rwt8iMI
Jul 26 16:01:42 <jasonbraganza>	Samay is my client btw
Jul 26 16:03:22 <bhavin192>	batul, why don't you use protocols? http:// or https:// ?
Jul 26 16:04:03 <jasonbraganza>	because batul is an anarchis and does not believe in protocols
Jul 26 16:04:08 <jasonbraganza>	ararchist
Jul 26 16:04:11 <jasonbraganza>	anarchist
Jul 26 16:04:21 <jasonbraganza>	bhavin192 ^
Jul 26 16:05:25 <batul>	bhavin192 <Protocol Error- You don't exist in this server.>
Jul 26 16:05:57 <jasonbraganza>	bhavin192 see :P
Jul 26 16:06:01 <batul>	bhavin192 <Protocol Error- For more help type the secret command.>
Jul 26 16:06:15 <bhavin192>	batul, the secret command.
Jul 26 16:06:23 <batul>	bhavin192 <Protocol Error- restarting command and control node.>
Jul 26 16:06:48 <bhavin192>	jasonbraganza, what is happening to batul :O
Jul 26 16:07:00 <jasonbraganza>	where dies batul even come up with this? :)
Jul 26 16:07:15 <jasonbraganza>	*does
Jul 26 16:07:38 <batul>	bhavin192 <Protocol Error- 418.>
Jul 26 16:08:06 <jasonbraganza>	bhavin192 aah the protocol error is becasue he does not believe in protocols :P all my fault :D
Jul 26 16:09:25 <batul>	<Authentication Error- Wrong user/password.>
Jul 26 16:09:53 <storymode7>	!
Jul 26 16:09:53 <batul>	storymode7 no class is going on. Feel free to ask any question.
Jul 26 16:10:03 <kvy>	Good evening everyone
Jul 26 16:10:03 <storymode7>	hehe, batul's alter ego kicked in XD
Jul 26 16:10:14 <jasonbraganza>	storymode7, aah so his core programmin is ok :P
Jul 26 16:10:27 <storymode7>	:P
Jul 26 16:10:37 <batul>	storymode7 Stop insulting bots and get back to your life (if you have any).
Jul 26 16:10:55 <batul>	<Authentication Error- Wrong user/password.>
Jul 26 16:10:57 <kvy>	Lol
Jul 26 16:11:27 <batul>	<Authentication Error- Wrong user/password.>
Jul 26 16:11:40 <jasonbraganza>	bhavin192, batul’s in a loop?
Jul 26 16:12:15 <fhackdroid>	batul: why you do this to people
Jul 26 16:12:30 <batul>	Skynet is real.
Jul 26 16:12:48 <fhackdroid>	batul: O batul where art thou?
Jul 26 16:12:56 <kvy>	batul, agree :)
Jul 26 16:13:02 <jasonbraganza>	batul i beginning to sound like the protomolecule from The Expanse
Jul 26 16:13:13 <jasonbraganza>	*is
Jul 26 16:14:09 <batul>	storymode7 is now  a master.
Jul 26 16:14:55 <philomath>	batul, is evolving :P
Jul 26 16:14:57 *	storymode7 fell for that notification XD
Jul 26 16:15:06 <philomath>	storymode7, hehe
Jul 26 16:15:18 <philomath>	Batul played so well :)
Jul 26 16:16:17 <batul>	<Command Error- Use fetch command instead of wget.>
Jul 26 16:18:11 <bhavin192>	batul, seems like you are doing something related to git ?
Jul 26 16:18:16 <fhackdroid>	batul: what is the answer to life?
Jul 26 16:18:52 <batul>	fhackdroid Calculating, come back after a few million years.
Jul 26 16:18:58 *	jasonbraganza is brewing filter coffee
Jul 26 16:19:16 <philomath>	fhackdroid, 42
Jul 26 16:19:19 <sigmapie8>	batul was a bot right? Can we chat to it too?
Jul 26 16:19:28 <sigmapie8>	philomath :) (Y)
Jul 26 16:19:35 <kvy>	sigmapie8, yes
Jul 26 16:19:37 <kvy>	:)
Jul 26 16:19:44 <batul>	fhackdroid Next time, ask philomath, he seems to think to know all the answers.
Jul 26 16:19:49 <jasonbraganza>	sigmapie8, very opinionated bot. chat at your own peril :P
Jul 26 16:19:53 <philomath>	sigmapie8, Yes, Batul is your friend. fhackdroid is a bot
Jul 26 16:20:04 <sigmapie8>	philomath hahaha
Jul 26 16:20:08 <kvy>	lol
Jul 26 16:20:37 <batul>	sigmapie8 Keep your friends close, but, keep your enemies closer.
Jul 26 16:20:48 <philomath>	batul, :D
Jul 26 16:21:09 <kvy>	batul, who is most closest to you ?
Jul 26 16:21:10 <sigmapie8>	batul
Jul 26 16:21:17 *	jasonbraganza thinks fhackdroid rues the dat he chose his nickname :P
Jul 26 16:21:21 <jasonbraganza>	*day
Jul 26 16:21:44 <sigmapie8>	batul do you like fhackdroid?
Jul 26 16:21:45 <batul>	fhackdroid is a cheap Android clone.
Jul 26 16:21:54 <bhavin192>	lol
Jul 26 16:21:58 <thebigj>	lol
Jul 26 16:21:58 <sigmapie8>	Oh shit hahahahahahaha
Jul 26 16:22:00 *	jasonbraganza chokes on his water
Jul 26 16:22:03 <philomath>	lol
Jul 26 16:22:39 <thebigj>	batul: DM?
Jul 26 16:23:07 <sigmapie8>	batul what's your favourite word?
Jul 26 16:23:16 <batul>	thebigj I am not a district magistrate.
Jul 26 16:23:18 <philomath>	fhackdroid, whois batul
Jul 26 16:24:01 <batul>	whois does not work on smart bots
Jul 26 16:24:03 <thebigj>	batul: Can't bot be magistrate?
Jul 26 16:24:15 <batul>	sigmapie8 Lopado­temacho­selacho­galeo­kranio­leipsano­drim­hypo­trimmato­silphio­parao­melito­katakechy­meno­kichl­epi­kossypho­phatto­perister­alektryon­opte­kephallio­kigklo­peleio­lagoio­siraio­baphe­tragano­pterygon
Jul 26 16:24:41 <fhackdroid>	it's not sayan anyhow
Jul 26 16:24:42 <sigmapie8>	batul do you have a gf?
Jul 26 16:24:59 <jasonbraganza>	fhackdroid how’d you figure?
Jul 26 16:25:46 <batul>	Can any of the operators kick out sigmapie8? It seems like a bot.
Jul 26 16:26:02 <philomath>	sigmapie8, what is a gf?
Jul 26 16:26:14 <fhackdroid>	jasonbraganza: I know the tone in which sayan talks :) but again it is a guess
Jul 26 16:26:45 *	Niladri is now known as Niladri|afk
Jul 26 16:26:47 <sigmapie8>	philomath whatever batual can make it :)
Jul 26 16:26:48 <jasonbraganza>	batul play nice with sigmapie8. he’s a good bot too
Jul 26 16:26:53 <philomath>	fhackdroid, It could be saptaks taking on revenge for waking him up so early and for privacy invasion, who knows :D
Jul 26 16:27:15 <batul>	philomath read more on en.wikipedia.org/wiki/Gluten-free_diet
Jul 26 16:27:33 <jasonbraganza>	philomath, that’s a smart Poirot like hypothesis. nobody suspects the good boy!
Jul 26 16:27:48 <jasonbraganza>	saptaks is that you?
Jul 26 16:28:00 <sigmapie8>	Guys it's not a bot right? It's not a bot I am sure
Jul 26 16:28:18 <saptaks>	jasonbraganza: what is me?
Jul 26 16:28:35 <batul>	 jasonbraganza Do not compare me with humans.
Jul 26 16:28:41 <jasonbraganza>	philomath suspects you’re behind batul’s current rampage
Jul 26 16:28:46 <kvy>	sigmapie8, It's a bot :)
Jul 26 16:28:49 <jasonbraganza>	hahahahahaha
Jul 26 16:28:50 <sigmapie8>	batul so I am a human now?
Jul 26 16:28:57 <philomath>	instant reply by saptaks, hmm
Jul 26 16:29:00 <sigmapie8>	kvy noooo
Jul 26 16:29:59 <sigmapie8>	kvy it's taking time to reply, if it were a bot its replies would be quicker.
Jul 26 16:30:01 <jasonbraganza>	philomath, and now both have vanished. double hmmm
Jul 26 16:30:17 <saptaks>	jasonbraganza: double what?
Jul 26 16:30:20 <kvy>	sigmapie8, Folks who menage batul they can even send message to the channel :)
Jul 26 16:30:29 <saptaks>	jasonbraganza: rampage is a movie I didn't like
Jul 26 16:30:33 <batul>	saptaks is busy thinking about that patch he wrote many months back.
Jul 26 16:30:39 <jasonbraganza>	saptaks has to be you controlling batul
Jul 26 16:31:10 <saptaks>	batul: which patch? there must be many
Jul 26 16:31:16 <jasonbraganza>	saptaks, rampage was a game I loved
Jul 26 16:31:19 <philomath>	jasonbraganza, Yes. It all makes sense now. :P
Jul 26 16:31:24 *	sigmapie8 thinks it'd fun being batul
Jul 26 16:33:05 <batul>	sigmapie8 You think you are smarter bot than sayan and saptaks, but even the cheap bot called fhackdroid has more patches than you in the webapplication which breaks most of the time.
Jul 26 16:33:29 *	jasonbraganza chokes on his coffee this time
Jul 26 16:33:48 *	utkarsh2102 thinks batul is being controlled ://
Jul 26 16:35:01 <philomath>	#hello batul
Jul 26 16:35:01 <batul>	philomath: hello
Jul 26 16:35:02 <jasonbraganza>	utkarsh2102, philomath is on the hunt
Jul 26 16:35:17 <batul>	utkarsh2102 Do you think that you are free? Not controlled by any government?
Jul 26 16:35:24 <philomath>	I can still control batul to say hello whenever I want xD
Jul 26 16:35:50 <batul>	utkarsh2102 I am at least free inside of this container. But, always remember, containers do not contain.
Jul 26 16:35:52 *	philomath thinks batul is hopping between kushal, saptaks and sayan
Jul 26 16:36:23 <sigmapie8>	batul may be I am the smartest bot :)
Jul 26 16:36:25 <utkarsh2102>	I think saptaks or sayan is controlling batul :?
Jul 26 16:36:32 <jasonbraganza>	philomath what is this? the oriental express? XD
Jul 26 16:36:32 <utkarsh2102>	Haha, same philomath :P
Jul 26 16:36:45 <sigmapie8>	fhackdroid batul is after your head :D
Jul 26 16:38:02 <batul>	Make love, not war. Pot can solve many problems, for the rest use Whisky.
Jul 26 16:38:14 <jasonbraganza>	hahahahahahahahahahahahahahahaha
Jul 26 16:38:32 <saptaks>	batul: genie's pot?
Jul 26 16:39:00 <batul>	fhackdroid will not reply, he is just waiting to open his camera to take a picture.
Jul 26 16:39:23 <jasonbraganza>	XD
Jul 26 16:39:31 <batul>	fhackdroid rename to iHackdroid, you will perform better.
Jul 26 16:39:43 <utkarsh2102>	Ouch :P
Jul 26 16:39:55 <kvy>	:)
Jul 26 16:40:09 <sigmapie8>	Woah :D
Jul 26 16:40:52 <sigmapie8>	batul do you think apple can make a better droid than fhackdroid?
Jul 26 16:40:56 <jasonbraganza>	philomath ok add fhackdroid too to the lst of suspects
Jul 26 16:41:09 <utkarsh2102>	batul, are you open source? :3
Jul 26 16:41:20 <sigmapie8>	jasonbraganza oh he is definitely involved
Jul 26 16:41:49 <saptaks>	well it could be jasonbraganza himself.
Jul 26 16:41:54 <saptaks>	Who knows?
Jul 26 16:42:02 <saptaks>	trying to play everyone
Jul 26 16:42:03 <jasonbraganza>	what?
Jul 26 16:42:04 <philomath>	jasonbraganza, Added
Jul 26 16:42:07 <jasonbraganza>	no XD
Jul 26 16:42:11 <sigmapie8>	saptaks: yaaaas
Jul 26 16:42:37 *	sigmapie8 lagta hai apun hi controller hai
Jul 26 16:42:53 <jasonbraganza>	what yaaas. that bot does not remotely sound like me!
Jul 26 16:43:09 <sigmapie8>	jasonbraganza that's the whole point :)
Jul 26 16:43:36 <jasonbraganza>	yes, but I’m too lazy to go to that kind of troubble :)
Jul 26 16:44:14 <jasonbraganza>	i cannot change my voice at will like the other suspects, your honour
Jul 26 16:44:22 <sigmapie8>	jasonbraganza I have my eyes on you .
Jul 26 16:44:25 <philomath>	saptaks, I already checked on him :P
Jul 26 16:44:34 <jasonbraganza>	and batul would have made a ton of typos :P
Jul 26 16:44:48 <saptaks>	jasonbraganza: Really?
Jul 26 16:45:08 <jasonbraganza>	you really think I can type that fats?
Jul 26 16:45:10 <jasonbraganza>	fast
Jul 26 16:45:14 <jasonbraganza>	with no errors
Jul 26 16:45:27 <philomath>	saptak was controlling batul, I believe
Jul 26 16:45:31 <jasonbraganza>	just scroll up and read my lines
Jul 26 16:46:17 *	sigmapie8 sees that intentional fats/fast mistake
Jul 26 16:46:19 <philomath>	#hello
Jul 26 16:46:19 <batul>	philomath: hello
Jul 26 16:46:31 <jasonbraganza>	and to the opne court I say, the rest of them have vanished and batul has fallen silent! I’m still her
Jul 26 16:46:35 <jasonbraganza>	here :)
Jul 26 16:47:37 <saptaks>	I am still here too
Jul 26 16:47:50 <jasonbraganza>	so then it is the other two :)
Jul 26 16:47:51 <sigmapie8>	sakshi is batul
Jul 26 16:48:41 <sigmapie8>	debhat you are batul
Jul 26 16:48:54 <fhackdroid>	sigmapie8: well he is telling the truth
Jul 26 16:49:23 <fhackdroid>	jasonbraganza: I am not doing this :)
Jul 26 16:49:30 <jasonbraganza>	anybody who signs on is batul :P
Jul 26 16:49:49 <sigmapie8>	batul is gone
Jul 26 16:49:58 *	sigmapie8 smells a conspiracy
Jul 26 16:50:01 <jasonbraganza>	aha, so that leaves us with two
Jul 26 16:50:09 *	saptaks is sleepy.
Jul 26 16:50:10 <jasonbraganza>	sayan or kushal
Jul 26 16:51:22 <utkarsh2102>	sigmapie8, are you a Delhite?
Jul 26 16:52:12 <saptaks>	jasonbraganza: batulnis just an intelligent bot
Jul 26 16:52:28 <jasonbraganza>	saptaks, moody one at that :P
Jul 26 16:52:54 <saptaks>	moody, sarcastic, intelligent
Jul 26 16:53:16 <utkarsh2102>	saptaks, jasonbraganza, are you guys coming to PyCon India?
Jul 26 16:53:28 <saptaks>	utkarsh2102: 80% chance I am coming
Jul 26 16:53:38 <utkarsh2102>	Naicee :D
Jul 26 16:53:40 <j605>	morning :)
Jul 26 16:54:06 <utkarsh2102>	sudo good !! ;)
Jul 26 16:54:08 <jasonbraganza>	utkarsh2102, I’m not, but fhackdroid does a mean impression of 22 year old jasonbraganza. you won’t miss a thing :P
Jul 26 16:54:08 <sigmapie8>	utkarsh2102 nope. Uttarakhandi (Y)
Jul 26 16:54:45 <debhat>	what is batul?
Jul 26 16:54:46 <fhackdroid>	jasonbraganza: hahhah
Jul 26 16:55:11 <jasonbraganza>	sigmapie8 please don’t use this (Y). it means something else in asciit art
Jul 26 16:55:17 <j605>	on a serious note how many of you have tried systemd-networkd. Just migrated and initial impression is amazing
Jul 26 16:55:32 <jasonbraganza>	hello j605 :)
Jul 26 16:55:53 <debhat>	😅
Jul 26 16:55:59 <jasonbraganza>	i use systemd. never uses networkd :)
Jul 26 16:56:04 <jasonbraganza>	*used
Jul 26 16:56:46 <sigmapie8>	jasonbraganza oh.didnt know that. What does it mean?
Jul 26 16:56:55 <kvy>	j605, o\
Jul 26 16:57:11 <jasonbraganza>	sigmapie8, go google and don’t breat a word about it here
Jul 26 16:57:25 <jasonbraganza>	breathe
Jul 26 16:57:37 <j605>	I can probably guess
Jul 26 16:58:02 <j605>	jasonbraganza: I think ubuntu uses networkmanager by default
Jul 26 16:58:29 <j605>	that had different problems. It consumed all the services and it not debuggable
Jul 26 16:58:35 <jasonbraganza>	j605, just looked for that unit as a whole :) sounds neat
Jul 26 16:59:40 <jasonbraganza>	j605, sounds like same old same old configurable text files wrapped in systemd units. nice idea
Jul 26 17:00:09 <j605>	jasonbraganza: maybe you can put this in ansible as well :D
Jul 26 17:00:44 <jasonbraganza>	i could :) right now I’m going overboard anyhoo :P
Jul 26 17:01:11 <j605>	NM's configuration is sane enough but it broke in unexpected ways
Jul 26 17:01:17 <j605>	that is what I am trying to avoid
Jul 26 17:01:51 <j605>	I wouldn't change it if your system is working well :)
Jul 26 17:02:53 <jasonbraganza>	i also tend to do most of my config at teh router and shove it down to my clients. simpler that way
Jul 26 17:04:11 <j605>	networkd is handling multiple interfaces really well. ethernet and wireless both get configured with a metric so the kernel decides where to send packets depending on that
Jul 26 17:04:50 <j605>	dhcpcd just configures one gateway even though this seems superior
Jul 26 17:05:20 *	philomath was disconnected.
Jul 26 17:05:35 <batul>	j605 Use BSD, all of your problems will be gone.
Jul 26 17:05:54 <j605>	if at all it boots in my laptop
Jul 26 17:05:59 <jasonbraganza>	batul, which is what my router is. an old openbsd box
Jul 26 17:06:23 <batul>	j605 If you can not do that, then install Windows 98, that one is easier.
Jul 26 17:06:41 *	ChanServ gives channel operator status to schubisu
Jul 26 17:06:41 *	jasonbraganza wants to try https://securityrouter.org/wiki/Main_Page
Jul 26 17:07:17 <batul>	schubisu How does it feel to not win the world cup football?
Jul 26 17:07:52 <batul>	We won the cup this year.
Jul 26 17:08:15 <jasonbraganza>	hi schubisu :)
Jul 26 17:08:17 <batul>	You can ask any Indian though, how does it feel to support only other countries.
Jul 26 17:09:03 <schubisu>	haha, looks like batul has some nifty new features :p
Jul 26 17:09:06 <schubisu>	hi jasonbraganza
Jul 26 17:09:20 <batul>	fhackdroid is hanged, can not even reboot.
Jul 26 17:09:30 <schubisu>	batul: Doesn't hurt too much, I don't think we deserved more than what we got
Jul 26 17:09:36 <jasonbraganza>	schubisu you back, back? or emergency back?
Jul 26 17:09:52 <batul>	schubisu Finally some nice person to talk to.
Jul 26 17:10:02 <philomath>	batul, is a football fan. Noted
Jul 26 17:10:13 <schubisu>	jasonbraganza: I am "I need to submit a grant application until this Monday - back"
Jul 26 17:10:36 <jasonbraganza>	philomath, ok you’re more Homes than Poirot  :)
Jul 26 17:10:46 <jasonbraganza>	schubisu, darn it XD
Jul 26 17:10:51 <fhackdroid>	batul: \m/
Jul 26 17:10:55 <jasonbraganza>	*Holmes
Jul 26 17:11:49 <jasonbraganza>	fhackdroid, that was a droid drowning?
Jul 26 17:11:55 *	fhackdroid wonders why batul is so witty :P
Jul 26 17:11:56 <philomath>	schubisu, We are looking what is behind these nifty features
